2024-01-03 12:13:42,SPIM,RPLL
2024-01-02 00:48:33,SLLP,SUAA
2024-01-02 00:42:43,EKCH,LDZA
2024-01-01 11:49:21,UMMS,SEQM
2024-01-03 19:53:15,SEQM,EKCH
2024-01-03 09:22:29,EKCH,SUAA
2024-01-02 19:39:51,EBCI,WIII
2024-01-02 00:03:34,SVMI,EBCI
2024-01-02 14:03:28,UMMS,ZBAA
2024-01-03 09:31:51,WMKK,OMDB
2024-01-03 01:38:23,SABE,RPLL
2024-01-03 18:34:35,SPIM,WSSS
2024-01-02 04:16:31,RJTT,SBBR
2024-01-03 12:11:09,SUAA,SPIM
2024-01-04 01:22:32,LBSF,LKPR
2024-01-04 03:37:12,EBCI,SLLP
2024-01-03 15:55:01,SKBO,VTBS
2024-01-03 10:27:53,EBCI,RKSI
2024-01-02 17:33:37,SPIM,ZBAA
2024-01-02 18:38:14,SLLP,EKCH
2024-01-04 08:08:54,VIDP,EDDI
2024-01-02 08:11:12,LOWW,EBCI
2024-01-04 00:39:40,SKBO,EDDI
2024-01-03 08:28:52,EBCI,RKSI
2024-01-04 07:36:32,LATI,LDZA
2024-01-01 06:09:41,VTBS,EKCH
2024-01-02 09:08:10,VIDP,EKCH
2024-01-04 17:10:37,UMMS,RPLL
2024-01-01 16:46:51,WMKK,LDZA
2024-01-03 13:26:24,LDZA,EKCH
2024-01-03 07:02:27,ZBAA,SVMI
2024-01-02 12:52:13,SEQM,SUAA
2024-01-02 02:09:49,RJTT,SEQM
2024-01-03 13:39:08,LKPR,RPLL
2024-01-04 19:36:56,SCEL,LOWW
2024-01-01 04:41:50,SCEL,VTBS
2024-01-03 03:54:32,SEQM,SLLP
2024-01-03 00:13:24,UMMS,LKPR
2024-01-01 08:30:46,SLLP,EDDI
2024-01-02 14:51:42,SKBO,EDDI
2024-01-03 08:40:14,WIII,RPLL
2024-01-04 13:55:06,RJTT,SCEL
2024-01-04 17:02:21,EHAM,EDDI
2024-01-03 14:38:45,SUAA,SABE
2024-01-04 05:00:53,LBSF,WMKK
2024-01-04 21:02:28,LKPR,EHAM
2024-01-02 01:08:35,LOWW,SABE
2024-01-03 09:17:43,SUAA,LDZA
2024-01-03 23:03:56,EDDI,EBCI
2024-01-04 11:53:45,UMMS,SVMI
2024-01-03 18:00:52,RJTT,SBBR
2024-01-03 02:53:13,WIII,SGAS
2024-01-03 00:10:13,WMKK,EDDI
2024-01-03 20:26:46,OMDB,SABE
2024-01-04 05:44:24,LDZA,UMMS
2024-01-03 23:59:40,SVMI,LOWW
2024-01-01 10:06:29,EDDI,RPLL
2024-01-04 00:23:56,UMMS,EKCH
2024-01-04 09:59:23,UMMS,EHAM
2024-01-01 05:56:46,SGAS,SVMI
2024-01-04 04:01:23,UMMS,LATI
2024-01-01 23:41:29,SKBO,LKPR
2024-01-02 09:13:17,RKSI,OMDB
2024-01-01 11:28:56,RKSI,EHAM
2024-01-02 05:23:58,SKBO,SEQM
2024-01-01 01:33:22,RJTT,VTBS
2024-01-02 19:21:23,LBSF,EHAM
2024-01-01 06:19:17,EKCH,SPIM
2024-01-02 21:58:38,LKPR,RKSI
2024-01-01 07:25:50,SPIM,SEQM
2024-01-04 21:21:44,SKBO,SEQM
2024-01-04 18:55:40,UMMS,VIDP
2024-01-03 03:50:28,SPIM,SBBR
2024-01-01 21:40:07,EDDI,LDZA
2024-01-03 11:37:24,LKPR,OMDB
2024-01-04 21:35:00,LBSF,SEQM
2024-01-01 01:07:37,SLLP,SPIM
2024-01-04 03:23:38,SPIM,LOWW
2024-01-02 07:15:23,SEQM,LKPR
2024-01-03 02:03:20,WMKK,LKPR
2024-01-01 05:10:28,VTBS,EBCI
2024-01-02 21:04:37,SPIM,SUAA
2024-01-03 05:19:57,SLLP,SVMI
2024-01-01 10:56:03,SPIM,SCEL
2024-01-02 23:55:37,EHAM,WMKK
