SBBR,SGAS,02:32:00,15:03:00,219
SBBR,SEQM,20:25:00,05:34:00,126
SBBR,SABE,23:00:00,05:53:00,374
SBBR,SVMI,06:09:00,13:59:00,478
SBBR,SKBO,13:56:00,00:06:00,291
SBBR,SCEL,00:45:00,12:37:00,389
SBBR,SPIM,12:22:00,23:18:00,186
SBBR,SLLP,23:24:00,07:53:00,373
SBBR,SUAA,08:41:00,10:39:00,139
SGAS,SBBR,00:33:00,23:40:00,153
SGAS,SEQM,17:29:00,00:45:00,442
SGAS,SABE,08:53:00,13:34:00,304
SGAS,SVMI,15:21:00,19:28:00,333
SGAS,SKBO,23:59:00,05:35:00,395
SGAS,SCEL,12:03:00,14:43:00,252
SGAS,SPIM,15:56:00,02:26:00,211
SGAS,SLLP,17:03:00,19:19:00,411
SGAS,SUAA,19:33:00,21:57:00,103
SEQM,SBBR,22:26:00,22:16:00,385
SEQM,SGAS,17:53:00,03:06:00,400
SEQM,SABE,23:01:00,04:27:00,429
SEQM,SVMI,08:25:00,16:56:00,217
SEQM,SKBO,00:37:00,09:56:00,399
SEQM,SCEL,21:48:00,20:38:00,136
SEQM,SPIM,04:01:00,07:08:00,169
SEQM,SLLP,17:39:00,04:06:00,136
SEQM,SUAA,12:50:00,17:43:00,395
SABE,SBBR,21:43:00,02:57:00,292
SABE,SGAS,03:48:00,15:45:00,493
SABE,SEQM,12:12:00,15:01:00,425
SABE,SVMI,00:43:00,12:13:00,369
SABE,SKBO,15:03:00,21:51:00,325
SABE,SCEL,23:10:00,03:11:00,378
SABE,SPIM,08:25:00,11:09:00,377
SABE,SLLP,21:06:00,07:40:00,214
SABE,SUAA,04:25:00,09:29:00,464
SVMI,SBBR,21:23:00,21:12:00,432
SVMI,SGAS,05:09:00,10:34:00,173
SVMI,SEQM,06:03:00,18:49:00,342
SVMI,SABE,03:13:00,09:05:00,409
SVMI,SKBO,21:28:00,01:50:00,179
SVMI,SCEL,00:01:00,05:06:00,134
SVMI,SPIM,05:45:00,11:09:00,148
SVMI,SLLP,21:42:00,09:19:00,191
SVMI,SUAA,06:16:00,11:03:00,212
SKBO,SBBR,18:53:00,03:12:00,126
SKBO,SGAS,17:59:00,19:19:00,312
SKBO,SEQM,06:13:00,14:56:00,476
SKBO,SABE,08:50:00,13:59:00,355
SKBO,SVMI,04:56:00,10:15:00,400
SKBO,SCEL,03:18:00,04:49:00,198
SKBO,SPIM,04:44:00,05:12:00,448
SKBO,SLLP,03:07:00,13:25:00,421
SKBO,SUAA,08:36:00,08:21:00,205
SCEL,SBBR,14:21:00,20:32:00,154
SCEL,SGAS,23:06:00,11:48:00,387
SCEL,SEQM,05:39:00,09:29:00,305
SCEL,SABE,14:24:00,19:21:00,428
SCEL,SVMI,05:44:00,07:28:00,409
SCEL,SKBO,21:56:00,09:23:00,275
SCEL,SPIM,02:17:00,13:15:00,148
SCEL,SLLP,18:33:00,01:58:00,266
SCEL,SUAA,07:38:00,07:55:00,135
SPIM,SBBR,16:48:00,00:57:00,288
SPIM,SGAS,20:25:00,02:04:00,495
SPIM,SEQM,07:19:00,14:11:00,494
SPIM,SABE,13:13:00,11:42:00,342
SPIM,SVMI,14:15:00,16:01:00,297
SPIM,SKBO,19:16:00,23:38:00,333
SPIM,SCEL,18:05:00,19:33:00,168
SPIM,SLLP,21:43:00,06:49:00,124
SPIM,SUAA,12:50:00,13:11:00,130
SLLP,SBBR,15:55:00,17:44:00,421
SLLP,SGAS,04:32:00,10:17:00,207
SLLP,SEQM,00:43:00,13:37:00,204
SLLP,SABE,08:29:00,13:16:00,380
SLLP,SVMI,16:20:00,04:01:00,439
SLLP,SKBO,21:49:00,04:32:00,321
SLLP,SCEL,07:54:00,14:48:00,432
SLLP,SPIM,18:31:00,00:48:00,394
SLLP,SUAA,08:02:00,09:31:00,119
SUAA,SBBR,09:02:00,17:06:00,411
SUAA,SGAS,11:10:00,15:48:00,108
SUAA,SEQM,14:50:00,19:45:00,402
SUAA,SABE,23:47:00,01:32:00,490
SUAA,SVMI,18:58:00,22:03:00,180
SUAA,SKBO,19:34:00,21:43:00,147
SUAA,SCEL,08:51:00,14:46:00,404
SUAA,SPIM,21:24:00,02:38:00,173
SUAA,SLLP,18:30:00,06:09:00,261
